descriptions,height,images,links,texts,titles,types,url,width
"shop,walking,our,sports,or,collection,at,discover,of,comfortable,trainers,from,range,and,colourful,running,choose,shoes,women",1006,47,525,180,"running,trainers,shoes,women,walking,sports","group,product",https://www.asos.com/women/activewear/shoes/cat/?cid=27165&ctaref=cat_header,1903
"options,return,shop,cs,with,beach,this,at,rainbow,haves,season,ts,leggings,must,detail,multiple,and,apply,delivery,south",1006,17,474,74,"beach,rainbow,leggings,detail,south",product,https://www.asos.com/south-beach/south-beach-rainbow-detail-leggings/prd/11855592?clr=black&colourWayId=16408678&SearchQuery=&cid=26091,1903
"options,return,shop,cs,waist,with,sports,this,at,haves,season,ts,must,elastane,high,multiple,and,apply,legging,black,delivery",1006,26,484,77,"waist,elastane,high,with,legging,black,sports",product,https://www.asos.com/asos-4505/asos-4505-high-waist-sports-legging-with-black-elastane/prd/10912370?clr=black&colourWayId=16302684&SearchQuery=&cid=26091,1903
"easy,tie,options,return,shirt,cs,now,with,the,so,at,side,trends,free,get,latest,ts,has,been,and,apply,never,shopping,online,delivery,buy",1006,17,474,75,"tie,with,shirt,side",product,https://www.asos.com/asos-4505/asos-4505-t-shirt-with-tie-side/prd/12624503?clr=black&colourWayId=16416821&SearchQuery=&cid=26091,1903
"gb,en",7159.75,14,1040,498,"phones,mobile,cheap,deals",,https://www.currys.co.uk/gbuk/phones-broadband-and-sat-nav/mobile-phones-and-accessories/mobile-phones/362_3412_32041_xx_xx/xx-criteria.html?ntid=B~d~Smart%20phones#30,1903
"clothes,today,department,accessories,shop,to,products,door,your,the,baby,bedding,kids,at,you,of,from,range,and,find,online,for,ll,delivered,outfits,white,widest",2121.32,9,637,161,"outfits,white,baby,kids",,https://www.debenhams.com/kids/outfits/white/baby,1903
"finish,cheerful,adorned,make,to,shirt,pattern,in,with,the,her,mantaray,cute,this,while,frilled,denim,two,lineup,is,details,trims,striped,from,everyday,patchwork,and,set,will,piece,cotton,features,addition,pinafore,flowers",3921.03,10,612,132,"mantaray,striped,set,shirt,denim,and,pinafore,blue,girls",,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_225020462246_-1,1903
"popper,are,animal,your,line,pattern,with,the,one,cute,this,while,little,stretch,two,back,added,bluezoo,leggings,fastenings,up,from,pure,brighten,everyday,dress,comfort,and,navy,day,colourful,set,all,will,piece,made,cotton,features,versatile,for",3802,9,612,127,"baby,bluezoo,leggings,animal,dress,and,print,pink,set,girls",,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_222020422305_-1,1903
"offers,orders,john,toys,partners,over,lewis,shop,from,at,clearance,for,delivery,on,range,our,free",1942.67,19,680,800,"offers,john,toys,partners,history,lewis,playmobil",,https://www.johnlewis.com/browse/clearance/toys-offers/playmobil/playmobil-history/_/N-5njrZ1z13z81Z1z02wdu,1903
"offers,orders,john,toys,partners,over,lewis,shop,from,at,clearance,for,delivery,on,range,our,free",2907,27,780,1000,"offers,john,toys,partners,lewis,carrera,playmobil",,https://www.johnlewis.com/browse/clearance/toys-offers/carrera/playmobil/_/N-5njrZ1z13mtkZ1z13z81,1903
"offers,orders,john,toys,partners,over,lewis,shop,from,at,clearance,for,delivery,on,range,our,free",2876,30,782,1000,"offers,john,toys,partners,disney,lewis,playmobil",,https://www.johnlewis.com/browse/clearance/toys-offers/disney/playmobil/_/N-5njrZ1z13ulcZ1z13z81,1903
"offers,orders,john,toys,partners,over,lewis,shop,from,at,clearance,for,delivery,on,range,our,free",2722.5,26,771,980,"offers,john,toys,partners,monopoly,lewis,playmobil",,https://www.johnlewis.com/browse/clearance/toys-offers/monopoly/playmobil/_/N-5njrZ1z13r09Z1z13z81,1903
"offers,orders,john,toys,partners,over,lewis,shop,from,at,clearance,for,delivery,on,range,our,free",2735.5,26,775,991,"offers,john,toys,partners,lewis,playmobil",,https://www.johnlewis.com/browse/clearance/toys-offers/playmobil/really-rad-robots/_/N-5njrZ1z13z81Z1yzrmc0,1903
